
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012736
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: /home/keeg/pi2_training/output_model_a/checkpoints/hebbian_step_1000(Phase1A).pt
  Loaded checkpoint from step 1000
  Previous avg loss: 0.1033

GPU memory used: 9.21 GB

Loading data: /home/keeg/pi2_training/Phase3(A-RedPill)/phase2_all_combined.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 10/5000 | Consistency: 0.0888 | Avg: 0.0719 | Samples/s: 1
Step 20/5000 | Consistency: 0.1018 | Avg: 0.0859 | Samples/s: 1
Step 30/5000 | Consistency: 0.1255 | Avg: 0.0958 | Samples/s: 1
Step 40/5000 | Consistency: 0.0365 | Avg: 0.0857 | Samples/s: 1
Step 50/5000 | Consistency: 0.0464 | Avg: 0.0762 | Samples/s: 1
Step 60/5000 | Consistency: 0.1035 | Avg: 0.0764 | Samples/s: 1
Step 70/5000 | Consistency: 0.1483 | Avg: 0.0838 | Samples/s: 1
Step 80/5000 | Consistency: 0.1158 | Avg: 0.0858 | Samples/s: 1
Step 90/5000 | Consistency: 0.1204 | Avg: 0.0845 | Samples/s: 1
Step 100/5000 | Consistency: 0.1149 | Avg: 0.0906 | Samples/s: 1
Step 110/5000 | Consistency: 0.1269 | Avg: 0.0926 | Samples/s: 1
Step 120/5000 | Consistency: 0.1292 | Avg: 0.0949 | Samples/s: 1
Step 130/5000 | Consistency: 0.0858 | Avg: 0.0964 | Samples/s: 1
Step 140/5000 | Consistency: 0.1183 | Avg: 0.0977 | Samples/s: 1
Step 150/5000 | Consistency: 0.1458 | Avg: 0.0999 | Samples/s: 1
Step 160/5000 | Consistency: 0.2087 | Avg: 0.1044 | Samples/s: 1
Step 170/5000 | Consistency: 0.0963 | Avg: 0.1067 | Samples/s: 1
Step 180/5000 | Consistency: 0.0853 | Avg: 0.1067 | Samples/s: 1
Step 190/5000 | Consistency: 0.1314 | Avg: 0.1068 | Samples/s: 1
