
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012737
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: /home/keeg/pi2_training/output_model_a/checkpoints/hebbian_step_1000(Phase1A).pt
  Loaded checkpoint from step 1000
  Previous avg loss: 0.1033

GPU memory used: 9.21 GB

Loading data: /home/keeg/pi2_training/Phase3(A-RedPill)/phase2_all_combined.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 10/5000 | Consistency: 0.0893 | Avg: 0.0723 | Samples/s: 1
Step 20/5000 | Consistency: 0.1023 | Avg: 0.0863 | Samples/s: 1
Step 30/5000 | Consistency: 0.1262 | Avg: 0.0963 | Samples/s: 1
Step 40/5000 | Consistency: 0.0365 | Avg: 0.0861 | Samples/s: 1
Step 50/5000 | Consistency: 0.0470 | Avg: 0.0766 | Samples/s: 1
Step 60/5000 | Consistency: 0.1018 | Avg: 0.0767 | Samples/s: 1
Step 70/5000 | Consistency: 0.1484 | Avg: 0.0840 | Samples/s: 1
Step 80/5000 | Consistency: 0.1167 | Avg: 0.0860 | Samples/s: 1
Step 90/5000 | Consistency: 0.1209 | Avg: 0.0848 | Samples/s: 1
Step 100/5000 | Consistency: 0.1163 | Avg: 0.0909 | Samples/s: 1
Step 110/5000 | Consistency: 0.1272 | Avg: 0.0929 | Samples/s: 1
Step 120/5000 | Consistency: 0.1241 | Avg: 0.0950 | Samples/s: 1
Step 130/5000 | Consistency: 0.0827 | Avg: 0.0962 | Samples/s: 1
Step 140/5000 | Consistency: 0.1147 | Avg: 0.0972 | Samples/s: 1
Step 150/5000 | Consistency: 0.1417 | Avg: 0.0992 | Samples/s: 1
Step 160/5000 | Consistency: 0.2069 | Avg: 0.1033 | Samples/s: 1
Step 170/5000 | Consistency: 0.0954 | Avg: 0.1057 | Samples/s: 1
Step 180/5000 | Consistency: 0.0869 | Avg: 0.1058 | Samples/s: 1
Step 190/5000 | Consistency: 0.1317 | Avg: 0.1060 | Samples/s: 1
Step 200/5000 | Consistency: 0.2299 | Avg: 0.1099 | Samples/s: 1
Step 210/5000 | Consistency: 0.1149 | Avg: 0.1101 | Samples/s: 1
Step 220/5000 | Consistency: 0.0840 | Avg: 0.1107 | Samples/s: 1
Step 230/5000 | Consistency: 0.2163 | Avg: 0.1119 | Samples/s: 1
Step 240/5000 | Consistency: 0.2088 | Avg: 0.1140 | Samples/s: 1
Step 250/5000 | Consistency: 0.0242 | Avg: 0.1120 | Samples/s: 1
Step 260/5000 | Consistency: 0.2305 | Avg: 0.1115 | Samples/s: 1
Step 270/5000 | Consistency: 0.1215 | Avg: 0.1128 | Samples/s: 1
Step 280/5000 | Consistency: 0.1423 | Avg: 0.1118 | Samples/s: 1
Step 290/5000 | Consistency: 0.1017 | Avg: 0.1094 | Samples/s: 1
Step 300/5000 | Consistency: 0.0598 | Avg: 0.1107 | Samples/s: 1
Step 310/5000 | Consistency: 0.1474 | Avg: 0.1100 | Samples/s: 1
Step 320/5000 | Consistency: 0.0385 | Avg: 0.1084 | Samples/s: 1
Step 330/5000 | Consistency: 0.0348 | Avg: 0.1088 | Samples/s: 1
Step 340/5000 | Consistency: 0.0348 | Avg: 0.1071 | Samples/s: 1
Step 350/5000 | Consistency: 0.0256 | Avg: 0.1049 | Samples/s: 1
Step 360/5000 | Consistency: 0.2163 | Avg: 0.1050 | Samples/s: 1
Step 370/5000 | Consistency: 0.0312 | Avg: 0.1037 | Samples/s: 1
Step 380/5000 | Consistency: 0.0217 | Avg: 0.1021 | Samples/s: 1
Step 390/5000 | Consistency: 0.1412 | Avg: 0.1010 | Samples/s: 1
Step 400/5000 | Consistency: 0.0899 | Avg: 0.1005 | Samples/s: 1
Step 410/5000 | Consistency: 0.0194 | Avg: 0.0992 | Samples/s: 1
Step 420/5000 | Consistency: 0.0369 | Avg: 0.0975 | Samples/s: 1
Step 430/5000 | Consistency: 0.0847 | Avg: 0.0966 | Samples/s: 1
Step 440/5000 | Consistency: 0.0880 | Avg: 0.0960 | Samples/s: 1
Step 450/5000 | Consistency: 0.0375 | Avg: 0.0945 | Samples/s: 1
Step 460/5000 | Consistency: 0.0356 | Avg: 0.0942 | Samples/s: 1
Step 470/5000 | Consistency: 0.0410 | Avg: 0.0931 | Samples/s: 1
Step 480/5000 | Consistency: 0.0322 | Avg: 0.0917 | Samples/s: 1
Step 490/5000 | Consistency: 0.0313 | Avg: 0.0909 | Samples/s: 1
Step 500/5000 | Consistency: 0.0278 | Avg: 0.0898 | Samples/s: 1
  → Saved checkpoint: hebbian_step_500.pt
Step 510/5000 | Consistency: 0.0317 | Avg: 0.0887 | Samples/s: 1
Step 520/5000 | Consistency: 0.1774 | Avg: 0.0882 | Samples/s: 1
Step 530/5000 | Consistency: 0.0302 | Avg: 0.0873 | Samples/s: 1
Step 540/5000 | Consistency: 0.0242 | Avg: 0.0864 | Samples/s: 1
Step 550/5000 | Consistency: 0.0583 | Avg: 0.0855 | Samples/s: 1
Step 560/5000 | Consistency: 0.0635 | Avg: 0.0849 | Samples/s: 1
Step 570/5000 | Consistency: 0.0230 | Avg: 0.0839 | Samples/s: 1
Step 580/5000 | Consistency: 0.0344 | Avg: 0.0830 | Samples/s: 1
Step 590/5000 | Consistency: 0.0409 | Avg: 0.0823 | Samples/s: 1
Step 600/5000 | Consistency: 0.0718 | Avg: 0.0816 | Samples/s: 1
Step 610/5000 | Consistency: 0.0271 | Avg: 0.0808 | Samples/s: 1
Step 620/5000 | Consistency: 0.0334 | Avg: 0.0800 | Samples/s: 1
