
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012731
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_a/checkpoints/hebbian_step_5000A.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0978

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 10/5000 | Consistency: 0.1152 | Avg: 0.0773 | Samples/s: 0
Step 20/5000 | Consistency: 0.1295 | Avg: 0.1040 | Samples/s: 0
Step 30/5000 | Consistency: 0.1305 | Avg: 0.1130 | Samples/s: 0
Step 40/5000 | Consistency: 0.0396 | Avg: 0.0994 | Samples/s: 0
Step 50/5000 | Consistency: 0.0394 | Avg: 0.0872 | Samples/s: 0
Step 60/5000 | Consistency: 0.1248 | Avg: 0.0860 | Samples/s: 0
Step 70/5000 | Consistency: 0.1558 | Avg: 0.0936 | Samples/s: 0
Step 80/5000 | Consistency: 0.1299 | Avg: 0.0963 | Samples/s: 0
Step 90/5000 | Consistency: 0.0859 | Avg: 0.0917 | Samples/s: 0
Step 100/5000 | Consistency: 0.1184 | Avg: 0.0954 | Samples/s: 0
Step 110/5000 | Consistency: 0.1082 | Avg: 0.0963 | Samples/s: 0
Step 120/5000 | Consistency: 0.1330 | Avg: 0.0978 | Samples/s: 0
Step 130/5000 | Consistency: 0.1360 | Avg: 0.0997 | Samples/s: 0
Step 140/5000 | Consistency: 0.1007 | Avg: 0.1018 | Samples/s: 0
Step 150/5000 | Consistency: 0.1176 | Avg: 0.1021 | Samples/s: 0
Step 160/5000 | Consistency: 0.2005 | Avg: 0.1046 | Samples/s: 1
Step 170/5000 | Consistency: 0.0733 | Avg: 0.1066 | Samples/s: 1
Step 180/5000 | Consistency: 0.0603 | Avg: 0.1055 | Samples/s: 1
Step 190/5000 | Consistency: 0.1191 | Avg: 0.1043 | Samples/s: 1
Step 200/5000 | Consistency: 0.2511 | Avg: 0.1102 | Samples/s: 1
Step 210/5000 | Consistency: 0.0686 | Avg: 0.1095 | Samples/s: 1
Step 220/5000 | Consistency: 0.0392 | Avg: 0.1081 | Samples/s: 1
Step 230/5000 | Consistency: 0.2235 | Avg: 0.1094 | Samples/s: 1
Step 240/5000 | Consistency: 0.1906 | Avg: 0.1110 | Samples/s: 1
Step 250/5000 | Consistency: 0.0177 | Avg: 0.1083 | Samples/s: 1
Step 260/5000 | Consistency: 0.2121 | Avg: 0.1071 | Samples/s: 1
Step 270/5000 | Consistency: 0.1199 | Avg: 0.1086 | Samples/s: 1
Step 280/5000 | Consistency: 0.1121 | Avg: 0.1074 | Samples/s: 1
Step 290/5000 | Consistency: 0.0788 | Avg: 0.1050 | Samples/s: 1
Step 300/5000 | Consistency: 0.0481 | Avg: 0.1055 | Samples/s: 1
Step 310/5000 | Consistency: 0.0678 | Avg: 0.1038 | Samples/s: 1
Step 320/5000 | Consistency: 0.0326 | Avg: 0.1017 | Samples/s: 1
Step 330/5000 | Consistency: 0.0332 | Avg: 0.1016 | Samples/s: 1
Step 340/5000 | Consistency: 0.0259 | Avg: 0.1000 | Samples/s: 1
Step 350/5000 | Consistency: 0.0235 | Avg: 0.0979 | Samples/s: 1
Step 360/5000 | Consistency: 0.1936 | Avg: 0.0977 | Samples/s: 1
Step 370/5000 | Consistency: 0.0272 | Avg: 0.0963 | Samples/s: 1
Step 380/5000 | Consistency: 0.0213 | Avg: 0.0948 | Samples/s: 1
Step 390/5000 | Consistency: 0.0983 | Avg: 0.0935 | Samples/s: 1
Step 400/5000 | Consistency: 0.0752 | Avg: 0.0928 | Samples/s: 1
