
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012734
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: /home/keeg/pi2_training/output_model_a/checkpoints/hebbian_step_3000(Phase1A).pt
  Loaded checkpoint from step 3000
  Previous avg loss: 0.1002

GPU memory used: 9.21 GB

Loading data: /home/keeg/pi2_training/Phase3(A-RedPill)/phase2_all_combined.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 10/5000 | Consistency: 0.1417 | Avg: 0.1305 | Samples/s: 1
Step 20/5000 | Consistency: 0.1284 | Avg: 0.1337 | Samples/s: 1
Step 30/5000 | Consistency: 0.1431 | Avg: 0.1348 | Samples/s: 1
Step 40/5000 | Consistency: 0.0417 | Avg: 0.1173 | Samples/s: 1
Step 50/5000 | Consistency: 0.0494 | Avg: 0.1022 | Samples/s: 1
Step 60/5000 | Consistency: 0.0888 | Avg: 0.0975 | Samples/s: 1
Step 70/5000 | Consistency: 0.1291 | Avg: 0.0989 | Samples/s: 1
Step 80/5000 | Consistency: 0.1139 | Avg: 0.0986 | Samples/s: 1
Step 90/5000 | Consistency: 0.0774 | Avg: 0.0941 | Samples/s: 1
Step 100/5000 | Consistency: 0.0892 | Avg: 0.0961 | Samples/s: 1
Step 110/5000 | Consistency: 0.1202 | Avg: 0.0962 | Samples/s: 1
Step 120/5000 | Consistency: 0.1511 | Avg: 0.0993 | Samples/s: 1
Step 130/5000 | Consistency: 0.1342 | Avg: 0.1031 | Samples/s: 1
Step 140/5000 | Consistency: 0.1513 | Avg: 0.1069 | Samples/s: 1
Step 150/5000 | Consistency: 0.1763 | Avg: 0.1104 | Samples/s: 1
Step 160/5000 | Consistency: 0.2265 | Avg: 0.1157 | Samples/s: 1
Step 170/5000 | Consistency: 0.1248 | Avg: 0.1180 | Samples/s: 1
Step 180/5000 | Consistency: 0.1131 | Avg: 0.1190 | Samples/s: 1
Step 190/5000 | Consistency: 0.1618 | Avg: 0.1198 | Samples/s: 1
Step 200/5000 | Consistency: 0.2426 | Avg: 0.1248 | Samples/s: 1
Step 210/5000 | Consistency: 0.1391 | Avg: 0.1258 | Samples/s: 1
Step 220/5000 | Consistency: 0.0781 | Avg: 0.1259 | Samples/s: 1
Step 230/5000 | Consistency: 0.2156 | Avg: 0.1271 | Samples/s: 1
Step 240/5000 | Consistency: 0.2029 | Avg: 0.1285 | Samples/s: 1
Step 250/5000 | Consistency: 0.0229 | Avg: 0.1254 | Samples/s: 1
Step 260/5000 | Consistency: 0.1756 | Avg: 0.1235 | Samples/s: 1
Step 270/5000 | Consistency: 0.1748 | Avg: 0.1246 | Samples/s: 1
Step 280/5000 | Consistency: 0.1302 | Avg: 0.1235 | Samples/s: 1
Step 290/5000 | Consistency: 0.0889 | Avg: 0.1207 | Samples/s: 1
Step 300/5000 | Consistency: 0.0691 | Avg: 0.1212 | Samples/s: 1
Step 310/5000 | Consistency: 0.0916 | Avg: 0.1198 | Samples/s: 1
Step 320/5000 | Consistency: 0.0344 | Avg: 0.1174 | Samples/s: 1
Step 330/5000 | Consistency: 0.0351 | Avg: 0.1170 | Samples/s: 1
Step 340/5000 | Consistency: 0.0287 | Avg: 0.1151 | Samples/s: 1
Step 350/5000 | Consistency: 0.0258 | Avg: 0.1126 | Samples/s: 1
Step 360/5000 | Consistency: 0.2042 | Avg: 0.1126 | Samples/s: 1
Step 370/5000 | Consistency: 0.0267 | Avg: 0.1108 | Samples/s: 1
Step 380/5000 | Consistency: 0.0247 | Avg: 0.1089 | Samples/s: 1
Step 390/5000 | Consistency: 0.1340 | Avg: 0.1076 | Samples/s: 1
Step 400/5000 | Consistency: 0.1073 | Avg: 0.1069 | Samples/s: 1
Step 410/5000 | Consistency: 0.0239 | Avg: 0.1052 | Samples/s: 1
Step 420/5000 | Consistency: 0.0497 | Avg: 0.1035 | Samples/s: 1
Step 430/5000 | Consistency: 0.0948 | Avg: 0.1029 | Samples/s: 1
Step 440/5000 | Consistency: 0.0599 | Avg: 0.1018 | Samples/s: 1
Step 450/5000 | Consistency: 0.0422 | Avg: 0.1004 | Samples/s: 1
Step 460/5000 | Consistency: 0.0375 | Avg: 0.1001 | Samples/s: 1
Step 470/5000 | Consistency: 0.0340 | Avg: 0.0988 | Samples/s: 1
Step 480/5000 | Consistency: 0.0342 | Avg: 0.0974 | Samples/s: 1
Step 490/5000 | Consistency: 0.0305 | Avg: 0.0964 | Samples/s: 1
Step 500/5000 | Consistency: 0.0249 | Avg: 0.0952 | Samples/s: 1
  → Saved checkpoint: hebbian_step_500.pt
Step 510/5000 | Consistency: 0.0341 | Avg: 0.0939 | Samples/s: 1
Step 520/5000 | Consistency: 0.1543 | Avg: 0.0933 | Samples/s: 1
Step 530/5000 | Consistency: 0.0238 | Avg: 0.0924 | Samples/s: 1
Step 540/5000 | Consistency: 0.0283 | Avg: 0.0913 | Samples/s: 1
Step 550/5000 | Consistency: 0.0813 | Avg: 0.0905 | Samples/s: 1
Step 560/5000 | Consistency: 0.0719 | Avg: 0.0900 | Samples/s: 1
Step 570/5000 | Consistency: 0.0280 | Avg: 0.0889 | Samples/s: 1
Step 580/5000 | Consistency: 0.0373 | Avg: 0.0880 | Samples/s: 1
Step 590/5000 | Consistency: 0.0423 | Avg: 0.0872 | Samples/s: 1
Step 600/5000 | Consistency: 0.0778 | Avg: 0.0865 | Samples/s: 1
Step 610/5000 | Consistency: 0.0260 | Avg: 0.0856 | Samples/s: 1
Step 620/5000 | Consistency: 0.0373 | Avg: 0.0848 | Samples/s: 1
Step 630/5000 | Consistency: 0.0372 | Avg: 0.0840 | Samples/s: 1
Step 640/5000 | Consistency: 0.0433 | Avg: 0.0833 | Samples/s: 1
Step 650/5000 | Consistency: 0.0285 | Avg: 0.0825 | Samples/s: 1
Step 660/5000 | Consistency: 0.0377 | Avg: 0.0818 | Samples/s: 1
Step 670/5000 | Consistency: 0.0341 | Avg: 0.0813 | Samples/s: 1
Step 680/5000 | Consistency: 0.0520 | Avg: 0.0806 | Samples/s: 1
Step 690/5000 | Consistency: 0.0280 | Avg: 0.0800 | Samples/s: 1
Step 700/5000 | Consistency: 0.0291 | Avg: 0.0794 | Samples/s: 1
Step 710/5000 | Consistency: 0.0372 | Avg: 0.0788 | Samples/s: 1
Step 720/5000 | Consistency: 0.0753 | Avg: 0.0783 | Samples/s: 1
Step 730/5000 | Consistency: 0.0283 | Avg: 0.0779 | Samples/s: 1
Step 740/5000 | Consistency: 0.0332 | Avg: 0.0773 | Samples/s: 1
Step 750/5000 | Consistency: 0.0447 | Avg: 0.0768 | Samples/s: 1
Step 760/5000 | Consistency: 0.0624 | Avg: 0.0763 | Samples/s: 1
Step 770/5000 | Consistency: 0.0370 | Avg: 0.0757 | Samples/s: 1
Step 780/5000 | Consistency: 0.0491 | Avg: 0.0754 | Samples/s: 1
Step 790/5000 | Consistency: 0.0631 | Avg: 0.0751 | Samples/s: 1
Step 800/5000 | Consistency: 0.0556 | Avg: 0.0748 | Samples/s: 1
Step 810/5000 | Consistency: 0.0254 | Avg: 0.0743 | Samples/s: 1
Step 820/5000 | Consistency: 0.0291 | Avg: 0.0738 | Samples/s: 1
