
============================================================
Boosted Embedding Phase 2 Training
============================================================
Using GPU: 1

Model: 1.57B
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012731
  π/2 = 1.570796

Applying π/2 phase quantization...

Loading checkpoint: /home/keeg/pi2_training/output_model_b_phase3/checkpoints/hebbian_step_2000.pt
  Loaded from step 2000
  Previous avg loss: 0.09308537373691797

Boosting embeddings by 1.5x:
  Token embeddings: std 0.007675 -> 0.011513
  Position embeddings: std 0.007664 -> 0.011496

Boosting first 4 layers by 1.2x:
  Layer 0: boosted by 1.2x
  Layer 1: boosted by 1.2x
  Layer 2: boosted by 1.2x
  Layer 3: boosted by 1.2x

GPU memory used: 9.21 GB

Loading data: /home/keeg/pi2_training/Phase3(A-RedPill)/phase2_all_combined.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 10/5000 | Consistency: 0.2403 | Avg: 0.1420 | Samples/s: 1
Step 20/5000 | Consistency: 0.2621 | Avg: 0.1994 | Samples/s: 1
Step 30/5000 | Consistency: 0.1278 | Avg: 0.1935 | Samples/s: 1
Step 40/5000 | Consistency: 0.1772 | Avg: 0.1732 | Samples/s: 1
Step 50/5000 | Consistency: 0.1358 | Avg: 0.1497 | Samples/s: 1
Step 60/5000 | Consistency: 0.0402 | Avg: 0.1515 | Samples/s: 1
Step 70/5000 | Consistency: 0.2302 | Avg: 0.1464 | Samples/s: 1
Step 80/5000 | Consistency: 0.0513 | Avg: 0.1377 | Samples/s: 1
Step 90/5000 | Consistency: 0.0492 | Avg: 0.1273 | Samples/s: 1
Step 100/5000 | Consistency: 0.0546 | Avg: 0.1212 | Samples/s: 1
Step 110/5000 | Consistency: 0.0627 | Avg: 0.1165 | Samples/s: 1
Step 120/5000 | Consistency: 0.0598 | Avg: 0.1106 | Samples/s: 1
Step 130/5000 | Consistency: 0.0390 | Avg: 0.1143 | Samples/s: 1
Step 140/5000 | Consistency: 0.0587 | Avg: 0.1120 | Samples/s: 1
Step 150/5000 | Consistency: 0.0241 | Avg: 0.1084 | Samples/s: 1
Step 160/5000 | Consistency: 0.2069 | Avg: 0.1114 | Samples/s: 1
Step 170/5000 | Consistency: 0.0920 | Avg: 0.1127 | Samples/s: 1
Step 180/5000 | Consistency: 0.0368 | Avg: 0.1128 | Samples/s: 1
Step 190/5000 | Consistency: 0.1703 | Avg: 0.1122 | Samples/s: 1
Step 200/5000 | Consistency: 0.1449 | Avg: 0.1113 | Samples/s: 1
Step 210/5000 | Consistency: 0.0297 | Avg: 0.1122 | Samples/s: 1
Step 220/5000 | Consistency: 0.2243 | Avg: 0.1122 | Samples/s: 1
Step 230/5000 | Consistency: 0.1536 | Avg: 0.1134 | Samples/s: 1
Step 240/5000 | Consistency: 0.0798 | Avg: 0.1119 | Samples/s: 1
Step 250/5000 | Consistency: 0.1009 | Avg: 0.1091 | Samples/s: 1
Step 260/5000 | Consistency: 0.1808 | Avg: 0.1101 | Samples/s: 1
Step 270/5000 | Consistency: 0.0854 | Avg: 0.1109 | Samples/s: 1
Step 280/5000 | Consistency: 0.0417 | Avg: 0.1086 | Samples/s: 1
Step 290/5000 | Consistency: 0.0446 | Avg: 0.1103 | Samples/s: 1
Step 300/5000 | Consistency: 0.0437 | Avg: 0.1090 | Samples/s: 1
Step 310/5000 | Consistency: 0.0291 | Avg: 0.1068 | Samples/s: 1
Step 320/5000 | Consistency: 0.1997 | Avg: 0.1085 | Samples/s: 1
Step 330/5000 | Consistency: 0.0430 | Avg: 0.1094 | Samples/s: 1
Step 340/5000 | Consistency: 0.0278 | Avg: 0.1078 | Samples/s: 1
Step 350/5000 | Consistency: 0.2019 | Avg: 0.1080 | Samples/s: 1
Step 360/5000 | Consistency: 0.2250 | Avg: 0.1091 | Samples/s: 1
Step 370/5000 | Consistency: 0.0250 | Avg: 0.1086 | Samples/s: 1
Step 380/5000 | Consistency: 0.1628 | Avg: 0.1077 | Samples/s: 1
Step 390/5000 | Consistency: 0.2065 | Avg: 0.1086 | Samples/s: 1
Step 400/5000 | Consistency: 0.1115 | Avg: 0.1086 | Samples/s: 1
Step 410/5000 | Consistency: 0.0594 | Avg: 0.1068 | Samples/s: 1
Step 420/5000 | Consistency: 0.1155 | Avg: 0.1066 | Samples/s: 1
Step 430/5000 | Consistency: 0.0839 | Avg: 0.1067 | Samples/s: 1
Step 440/5000 | Consistency: 0.0346 | Avg: 0.1053 | Samples/s: 1
Step 450/5000 | Consistency: 0.1084 | Avg: 0.1056 | Samples/s: 1
Step 460/5000 | Consistency: 0.0735 | Avg: 0.1065 | Samples/s: 1
Step 470/5000 | Consistency: 0.0314 | Avg: 0.1055 | Samples/s: 1
Step 480/5000 | Consistency: 0.1893 | Avg: 0.1057 | Samples/s: 1
Step 490/5000 | Consistency: 0.0490 | Avg: 0.1052 | Samples/s: 1
Step 500/5000 | Consistency: 0.0288 | Avg: 0.1042 | Samples/s: 1
  → Saved checkpoint: hebbian_step_500.pt
Step 510/5000 | Consistency: 0.1272 | Avg: 0.1035 | Samples/s: 1
Step 520/5000 | Consistency: 0.2437 | Avg: 0.1045 | Samples/s: 1
Step 530/5000 | Consistency: 0.0347 | Avg: 0.1039 | Samples/s: 1
Step 540/5000 | Consistency: 0.0711 | Avg: 0.1028 | Samples/s: 1
Step 550/5000 | Consistency: 0.1473 | Avg: 0.1027 | Samples/s: 1
Step 560/5000 | Consistency: 0.0969 | Avg: 0.1025 | Samples/s: 1
Step 570/5000 | Consistency: 0.0580 | Avg: 0.1014 | Samples/s: 1
Step 580/5000 | Consistency: 0.1158 | Avg: 0.1014 | Samples/s: 1
Step 590/5000 | Consistency: 0.0828 | Avg: 0.1014 | Samples/s: 1
Step 600/5000 | Consistency: 0.0438 | Avg: 0.1006 | Samples/s: 1
Step 610/5000 | Consistency: 0.0475 | Avg: 0.1005 | Samples/s: 1
Step 620/5000 | Consistency: 0.0589 | Avg: 0.0999 | Samples/s: 1
Step 630/5000 | Consistency: 0.0311 | Avg: 0.0992 | Samples/s: 1
Step 640/5000 | Consistency: 0.0535 | Avg: 0.0982 | Samples/s: 1
Step 650/5000 | Consistency: 0.0532 | Avg: 0.0983 | Samples/s: 1
Step 660/5000 | Consistency: 0.0393 | Avg: 0.0979 | Samples/s: 1
Step 670/5000 | Consistency: 0.0927 | Avg: 0.0972 | Samples/s: 1
Step 680/5000 | Consistency: 0.1852 | Avg: 0.0974 | Samples/s: 1
Step 690/5000 | Consistency: 0.0466 | Avg: 0.0972 | Samples/s: 1
Step 700/5000 | Consistency: 0.0637 | Avg: 0.0965 | Samples/s: 1
Step 710/5000 | Consistency: 0.1038 | Avg: 0.0963 | Samples/s: 1
Step 720/5000 | Consistency: 0.1501 | Avg: 0.0965 | Samples/s: 1
Step 730/5000 | Consistency: 0.0591 | Avg: 0.0958 | Samples/s: 1
Step 740/5000 | Consistency: 0.0378 | Avg: 0.0956 | Samples/s: 1
Step 750/5000 | Consistency: 0.0847 | Avg: 0.0951 | Samples/s: 1
