
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012730
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_b/checkpoints/hebbian_step_5000B.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0910

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 10/5000 | Consistency: 0.0878 | Avg: 0.0612 | Samples/s: 1
Step 20/5000 | Consistency: 0.1286 | Avg: 0.0888 | Samples/s: 1
Step 30/5000 | Consistency: 0.1242 | Avg: 0.1019 | Samples/s: 1
Step 40/5000 | Consistency: 0.0420 | Avg: 0.0923 | Samples/s: 1
Step 50/5000 | Consistency: 0.0468 | Avg: 0.0837 | Samples/s: 1
Step 60/5000 | Consistency: 0.0868 | Avg: 0.0817 | Samples/s: 1
Step 70/5000 | Consistency: 0.1492 | Avg: 0.0856 | Samples/s: 1
Step 80/5000 | Consistency: 0.1752 | Avg: 0.0916 | Samples/s: 1
Step 90/5000 | Consistency: 0.0472 | Avg: 0.0892 | Samples/s: 1
Step 100/5000 | Consistency: 0.0626 | Avg: 0.0862 | Samples/s: 1
Step 110/5000 | Consistency: 0.1964 | Avg: 0.0913 | Samples/s: 1
Step 120/5000 | Consistency: 0.1025 | Avg: 0.0913 | Samples/s: 1
Step 130/5000 | Consistency: 0.0833 | Avg: 0.0900 | Samples/s: 1
Step 140/5000 | Consistency: 0.2169 | Avg: 0.0952 | Samples/s: 1
Step 150/5000 | Consistency: 0.1101 | Avg: 0.0975 | Samples/s: 1
Step 160/5000 | Consistency: 0.1979 | Avg: 0.1023 | Samples/s: 1
Step 170/5000 | Consistency: 0.2209 | Avg: 0.1064 | Samples/s: 1
Step 180/5000 | Consistency: 0.0252 | Avg: 0.1087 | Samples/s: 1
Step 190/5000 | Consistency: 0.1901 | Avg: 0.1090 | Samples/s: 1
Step 200/5000 | Consistency: 0.1453 | Avg: 0.1090 | Samples/s: 1
Step 210/5000 | Consistency: 0.0255 | Avg: 0.1123 | Samples/s: 1
Step 220/5000 | Consistency: 0.1150 | Avg: 0.1101 | Samples/s: 1
Step 230/5000 | Consistency: 0.1130 | Avg: 0.1093 | Samples/s: 1
Step 240/5000 | Consistency: 0.2066 | Avg: 0.1121 | Samples/s: 1
Step 250/5000 | Consistency: 0.0848 | Avg: 0.1089 | Samples/s: 1
Step 260/5000 | Consistency: 0.0465 | Avg: 0.1085 | Samples/s: 1
Step 270/5000 | Consistency: 0.1826 | Avg: 0.1091 | Samples/s: 1
Step 280/5000 | Consistency: 0.0366 | Avg: 0.1073 | Samples/s: 1
Step 290/5000 | Consistency: 0.0245 | Avg: 0.1057 | Samples/s: 1
Step 300/5000 | Consistency: 0.0546 | Avg: 0.1035 | Samples/s: 1
Step 310/5000 | Consistency: 0.0247 | Avg: 0.1018 | Samples/s: 1
Step 320/5000 | Consistency: 0.0791 | Avg: 0.1001 | Samples/s: 1
Step 330/5000 | Consistency: 0.0348 | Avg: 0.0983 | Samples/s: 1
Step 340/5000 | Consistency: 0.0234 | Avg: 0.0969 | Samples/s: 1
Step 350/5000 | Consistency: 0.0720 | Avg: 0.0953 | Samples/s: 1
Step 360/5000 | Consistency: 0.0864 | Avg: 0.0942 | Samples/s: 1
Step 370/5000 | Consistency: 0.0195 | Avg: 0.0940 | Samples/s: 1
Step 380/5000 | Consistency: 0.0484 | Avg: 0.0923 | Samples/s: 1
Step 390/5000 | Consistency: 0.0445 | Avg: 0.0911 | Samples/s: 1
Step 400/5000 | Consistency: 0.1350 | Avg: 0.0907 | Samples/s: 1
Step 410/5000 | Consistency: 0.0283 | Avg: 0.0893 | Samples/s: 1
Step 420/5000 | Consistency: 0.0472 | Avg: 0.0881 | Samples/s: 1
Step 430/5000 | Consistency: 0.1277 | Avg: 0.0881 | Samples/s: 1
Step 440/5000 | Consistency: 0.0389 | Avg: 0.0873 | Samples/s: 1
Step 450/5000 | Consistency: 0.0331 | Avg: 0.0860 | Samples/s: 1
Step 460/5000 | Consistency: 0.0425 | Avg: 0.0853 | Samples/s: 1
Step 470/5000 | Consistency: 0.0264 | Avg: 0.0844 | Samples/s: 1
Step 480/5000 | Consistency: 0.0891 | Avg: 0.0837 | Samples/s: 1
Step 490/5000 | Consistency: 0.0359 | Avg: 0.0827 | Samples/s: 1
Step 500/5000 | Consistency: 0.0249 | Avg: 0.0821 | Samples/s: 1
  → Saved checkpoint: hebbian_step_500.pt
Step 510/5000 | Consistency: 0.0437 | Avg: 0.0811 | Samples/s: 1
Step 520/5000 | Consistency: 0.1122 | Avg: 0.0807 | Samples/s: 1
Step 530/5000 | Consistency: 0.0273 | Avg: 0.0800 | Samples/s: 1
Step 540/5000 | Consistency: 0.0452 | Avg: 0.0792 | Samples/s: 1
Step 550/5000 | Consistency: 0.0473 | Avg: 0.0786 | Samples/s: 1
Step 560/5000 | Consistency: 0.0678 | Avg: 0.0780 | Samples/s: 1
Step 570/5000 | Consistency: 0.0370 | Avg: 0.0772 | Samples/s: 1
Step 580/5000 | Consistency: 0.0414 | Avg: 0.0768 | Samples/s: 1
Step 590/5000 | Consistency: 0.0486 | Avg: 0.0763 | Samples/s: 1
Step 600/5000 | Consistency: 0.0469 | Avg: 0.0757 | Samples/s: 1
Step 610/5000 | Consistency: 0.0340 | Avg: 0.0754 | Samples/s: 1
